1,G01,G02,02912608_G01.zsd-02942607_G02.zsd,-366.6087,-252.4815,72.1291,8.1,11,13.7
2,G01,g03,02912608_G01.zsd-03662608_g03.zsd,-509.2608,22.3781,-426.4979,7.8,10.6,13.3
3,G01,g11,02942630_G01.zsd-03662630_g11.zsd,714.8437,446.3863,-70.7624,4.1,7.7,6.7
4,G02,g03,02942607_G02.zsd-03662608_g03.zsd,-142.6498,274.8577,-498.627,5.4,7.7,9.9
5,G04,g03,02942608_G04.zsd-03662609_g03.zsd,97.926,-192.0434,346.4421,5.3,6.9,5.8
6,G04,g05,02942625_G04.zsd-03662626_g05.zsd,312.0537,204.7549,-46.2603,13.4,38.8,18.6
7,g06,G04,02912631_g06.zsd-02942625_G04.zsd,-701.8827,-464.6907,110.2367,5.7,10.7,6.5
8,g06,g05,02912631_g06.zsd-03662626_g05.zsd,-389.8306,-259.9329,63.9769,5.6,5.9,4.1
9,g06,G07,02912612_g06.zsd-02942612_G07.zsd,348.1171,196.0223,-5.7602,3.3,4.8,3.9
10,g06,g09,02912612_g06.zsd-03662611_g09.zsd,167.4629,-202.2958,413.9846,2.9,4.3,3.3
11,G07,g09,02942612_G07.zsd-03662611_g09.zsd,-180.6533,-398.3194,419.7436,3.6,5.2,4.2
12,G07,g11,02942620_G07.zsd-03662620_g11.zsd,272.0238,-428.7511,818.176,3.7,9.2,4.6
13,G08,g03,02912609_G08.zsd-03662609_g03.zsd,-533.794,-312.1199,27.573,3.4,4.9,3.4
14,G08,G04,02912609_G08.zsd-02942608_G04.zsd,-631.7205,-120.0778,-318.8694,5.1,6.6,5.6
15,G08,g09,02942622_G08.zsd-03662622_g09.zsd,237.6263,142.3337,-15.1263,4.8,7,4.1
16,G10,G07,02912620_G10.zsd-02942620_G07.zsd,-242.2288,144.2423,-388.9749,3.3,6.6,4.1
17,G10,g11,02912620_G10.zsd-03662620_g11.zsd,29.795,-284.5064,429.2001,3.6,9,4.6
18,G12,G01,02912632_G12.zsd-02942630_G01.zsd,-390.41,-259.3411,63.9442,4.1,8.1,6.8
19,G12,G08,02912623_G12.zsd-02942622_G08.zsd,-365.8394,75.1172,-390.1562,6.1,8.8,4.9
20,G12,g09,02912623_G12.zsd-03662622_g09.zsd,-128.2126,217.4485,-405.2823,5.5,8.7,4.3
21,G12,g11,02912632_G12.zsd-03662630_g11.zsd,324.4349,187.0474,-6.82,3.7,8.6,5.7
